seedPlayerId,seedName,seedKey,sourceClub,sourcePosition,birthDate,localBestMatch,localBestTmPlayerId,localBestClub,localBestSimilarity,clubMatch,positionMatch,DOBMatch,runnerUp,runnerUpTmPlayerId,status
"cmtr671am001533ynq0pj8a42","Bakhtierjon Kosimov","UZ1-2026-AGMK-021","AGMK","MF","","Bakhodir Nasimov","143820","Dinamo Samarqand","0.588","false","false","false","","","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671di006j33ynftde8qq6","Bektemir Abdumannonov","UZ1-2026-DINAMOSA-029","Dinamo Samarkand","FW","","Doniyor Abdumannopov","661061","FC Andijon","0.600","false","false","false","","","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671k000kn33ynoqx83c9y","Bobur Ergashev","UZ1-2026-LOKOMOTI-028","Lokomotiv Tashkent","MF","","Botirali Ergashev","312690","Neftchi Fergana","0.688","false","false","false","Ozodbek Ergashev","1200321","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671ca003v33ynwbqa8gun","Bobur Farhodov","UZ1-2026-BUNYODKO-015","Bunyodkor Tashkent","MF","","Bobur Askarov","651310","Mash'al Mubarek","0.615","false","false","false","Bobur Abdikholikov","431912","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671ca003t33yn4lszitqq","Chaker Zouaghi","UZ1-2026-BUNYODKO-014","Bunyodkor Tashkent","MF","","","","","","","","","","","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671h000d333yn2p7vsi61","Daler Tuxsanov","UZ1-2026-NEFTCHIF-030","Neftchi Fergana","FW","","","","","","","","","","","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671fe00an33ynktp0mdfq","Davron Khashimov","UZ1-2026-NAVBAHOR-007","Navbahor Namangan","DF","","Abror Karimov","1061552","FC OKMK Olmaliq","0.571","false","true","false","Davron Merganov","772911","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671fr00bh33yny5lp04y8","Davronbek Olimzhonov","UZ1-2026-NAVBAHOR-024","Navbahor Namangan","MF","","Asadbek Rakhimzhonov","1096528","Navbahor Namangan","0.579","true","false","false","Zafarbek Rakhimzhonov","1198061","AMBIGUOUS"
"cmtr671c9003r33yn8uo5frkv","Davronbek Umirov","UZ1-2026-BUNYODKO-013","Bunyodkor Tashkent","DF","","Davronbek Usmonov","1383135","Nasaf Qarshi","0.813","false","false","false","Kamronbek Yusupov","1106183","AMBIGUOUS"
"cmtr671c0003733yn38yfmldu","Dilshod Khamraev","UZ1-2026-BUNYODKO-003","Bunyodkor Tashkent","GK","","Dilshod Misraliev","1341818","Sogdiana Jizzakh","0.688","false","false","false","Dilshod Akhmadaliev","427878","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671eo009b33yn2d4i5np8","Dilshod Murtazayev","UZ1-2026-NASAFQAR-024","Nasaf Qarshi","MF","","Dilshod Murtozoev","1079572","Nasaf Qarshi","0.824","true","false","false","Dilshod Misraliev","1341818","LOCAL_DUPLICATE"
"cmtr6719w000333ynt3cb7fqk","Dilshod Yokubov","UZ1-2026-AGMK-002","AGMK","GK","","Dilshod Komilov","661080","Navbahor Namangan","0.714","false","false","false","Dilshod Saitov","596250","AMBIGUOUS"
"cmtr671k400kz33ynq33mi1b9","Diyor Turopov","UZ1-2026-LOKOMOTI-034","Lokomotiv Tashkent","MF","","Diyorzhon Turopov","274557","Lokomotiv Tashkent","0.750","true","false","false","Shakhzod Turopov","660262","AMBIGUOUS"
"cmtr671k800lf33ynplrltvfp","Donier Usmanov","UZ1-2026-LOKOMOTI-042","Lokomotiv Tashkent","FW","","Davronbek Usmonov","1383135","Nasaf Qarshi","0.625","false","true","false","Daniil Nugumanov","1398347","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671fp00bd33yntj2nu5mz","Doston Abdulkhaev","UZ1-2026-NAVBAHOR-022","Navbahor Namangan","MF","","Dilshod Abdullaev","1079574","Pakhtakor Tashkent","0.688","false","false","false","Doniyor Narzullaev","431914","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671gg00cd33yn4776pdi8","Elsevarbek Olimov","UZ1-2026-NEFTCHIF-008","Neftchi Fergana","DF","","Eldorbek Begimov","630042","FC OKMK Olmaliq","0.563","false","true","false","","","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671db006533ynpepk067u","Farrukh Ikramov","UZ1-2026-DINAMOSA-021","Dinamo Samarkand","MF","","Farrukh Juraev","660296","FC Qizilqum","0.692","false","false","false","Farrukhzhon Ibrokhimov","518820","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671j700il33ynskm17nrv","Fejsal Mulic","UZ1-2026-SOGDIANA-026","Sogdiana Jizzakh","FW","","","","","","","","","","","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671gx00cz33yn7qhsxcwv","Francisco Jurani","UZ1-2026-NEFTCHIF-027","Neftchi Fergana","MF","","","","","","","","","","","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671fy00bv33yn5r7yvqet","Giorgi Nikabadze","UZ1-2026-NAVBAHOR-031","Navbahor Namangan","FW","","","","","","","","","","","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671f600af33ynb3k1m5kt","Hurshid Huzaev","UZ1-2026-NAVBAHOR-003","Navbahor Namangan","GK","","Khurshid Giyosov","375957","Neftchi Fergana","0.571","false","false","false","","","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671gr00cp33yngs7q8exv","Husanboy Umirzoqov","UZ1-2026-NEFTCHIF-020","Neftchi Fergana","MF","","","","","","","","","","","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671k400l133ynse4x0ksz","Ibrahim Rakhimov","UZ1-2026-LOKOMOTI-035","Lokomotiv Tashkent","MF","","Nurlan Ibraimov","1144074","Lokomotiv Tashkent","0.571","true","false","false","Ibrokhim Ibrokhimov","630010","AMBIGUOUS"
