playerId,name,seedKey,sourceClub,sourcePosition,birthDate
"cmtr671dp006r33yn3zff475o","Samandar Ochilov","UZ1-2026-MASHALMU-002","Mashal Muborak","DF",""
"cmtr671iu00hp33yns7uh1jze","Samandar Sindarov","UZ1-2026-SOGDIANA-009","Sogdiana Jizzakh","DF",""
"cmtr671ac000r33yngw5qhngu","Sanjar Tursunov","UZ1-2026-AGMK-014","AGMK","MF",""
"cmtr671dy007h33ynwumm3a6a","Sanjar Zokirov","UZ1-2026-MASHALMU-015","Mashal Muborak","MF",""
"cmtr671jh00jb33ynjirk7khw","Sardor Kabuldzhanov","UZ1-2026-LOKOMOTI-002","Lokomotiv Tashkent","GK",""
"cmtr671ek008z33ynukziqadq","Sardor Sadulloev","UZ1-2026-NASAFQAR-018","Nasaf Qarshi","DF",""
"cmtr671c3003f33ynixowtcx1","Sergei Simonenko","UZ1-2026-BUNYODKO-007","Bunyodkor Tashkent","DF",""
"cmtr671jq00jv33ynuy74lv0z","Sergey Prokhorov","UZ1-2026-LOKOMOTI-013","Lokomotiv Tashkent","DF",""
"cmtr671h600dh33yn7l629f0y","Shahzod Azmiddinov","UZ1-2026-PAKHTAKO-004","Pakhtakor Tashkent","DF",""
"cmtr671ds006z33yn9h22yeku","Shakhboz Juraev","UZ1-2026-MASHALMU-006","Mashal Muborak","MF",""
"cmtr671cq004t33yne68rms72","Shakzodbek Nurmatov","UZ1-2026-BUNYODKO-033","Bunyodkor Tashkent","FW",""
"cmtr671jx00kh33ynxpdaa56d","Sherzodbek Karimov","UZ1-2026-LOKOMOTI-025","Lokomotiv Tashkent","MF",""
"cmtr671gx00cx33ynrb47oy3a","Shohruhbek Rahmonaliev","UZ1-2026-NEFTCHIF-026","Neftchi Fergana","MF",""
"cmtr671i300fl33ynuvmmas1a","Shoxrux Norxonov","UZ1-2026-QIZILQUM-014","Qizilqum Zarafshon","FW",""
"cmtr671ix00hz33yn6h9p63ua","Siroy Meliev","UZ1-2026-SOGDIANA-015","Sogdiana Jizzakh","MF",""
"cmtr671ah000v33ynfyqyk7cw","Sirozhiddin Bashriddinov","UZ1-2026-AGMK-016","AGMK","MF",""
"cmtr671ey009x33ynbra5f93v","Stefan Colovic","UZ1-2026-NASAFQAR-038","Nasaf Qarshi","FW",""
"cmtr671jm00jj33ynkds3d1k6","Sukhrobjon Sultanov","UZ1-2026-LOKOMOTI-007","Lokomotiv Tashkent","GK",""
"cmtr671de006d33yn4eetik6r","Til Mavretic","UZ1-2026-DINAMOSA-025","Dinamo Samarkand","FW",""
"cmtr671kh00m733ynzskk8uyx","Timur Bekchanov","UZ1-2026-XORAZMUR-006","Xorazm Urganch","FW",""
"cmtr671ct005133yny2hwlswz","Toni Jovic","UZ1-2026-BUNYODKO-037","Bunyodkor Tashkent","FW",""
"cmtr671iy00i133ynodwtar3p","Ulugbek Kenjayev","UZ1-2026-SOGDIANA-016","Sogdiana Jizzakh","MF",""
"cmtr671al001333yn7aum4gyh","Ulugbek Sunnatov","UZ1-2026-AGMK-020","AGMK","MF",""
"cmtr671ec008h33ynri5id0x9","Umidjon Ergashev","UZ1-2026-NASAFQAR-008","Nasaf Qarshi","GK",""
"cmtr671js00k133yn95uksvtz","Valeri Kichin","UZ1-2026-LOKOMOTI-016","Lokomotiv Tashkent","DF",""
"cmtr671a2000b33yna1l1z502","Vitaliy Denisov","UZ1-2026-AGMK-006","AGMK","DF",""
"cmtr671gv00ct33yn6sbcdgr6","Yahyo To'xtashev","UZ1-2026-NEFTCHIF-024","Neftchi Fergana","MF",""
"cmtr671h300d933ynciawl3l0","Yahyo Zuhriddinov","UZ1-2026-NEFTCHIF-034","Neftchi Fergana","FW",""
"cmtr671gt00cr33ynjju6fciu","Yahyoxon Isaqov","UZ1-2026-NEFTCHIF-022","Neftchi Fergana","MF",""
"cmtr671ea008d33ynav10y0a0","Zafar Safaev","UZ1-2026-NASAFQAR-006","Nasaf Qarshi","GK",""
"cmtr671k000kp33ynsxssn6nw","Zhasur Khasanov","UZ1-2026-LOKOMOTI-029","Lokomotiv Tashkent","MF",""
"cmtr671dx007d33ynzgiyklzq","Zhonibek Mirzakulov","UZ1-2026-MASHALMU-013","Mashal Muborak","MF",""
"cmtr671ir00hf33ynubqjp7y2","Zoir Jurabaev","UZ1-2026-SOGDIANA-004","Sogdiana Jizzakh","DF",""
