playerId,currentName,tmPlayerId,tmUrl,careerStatus,confirmedFreeAgent,currentClub,currentClubTmId,currentCompetition,currentCompetitionTmId,mainPosition,positionGroup,birthDate,age,nationalities,marketValueEur,contractExpires,portraitPresent,preferredFoot,representationStatus,seedKey,sourceName,sourceClub,sourcePosition,sourceSeason,sourceUrl
"cmtr671hx00f533yn3ct2jhhw","Jambul Jigauri","seed:UZ1-2026-QIZILQUM-006","seed://uz1/UZ1-2026-QIZILQUM-006","UNKNOWN","false","","","","","UNKNOWN","MF","","","[]","","","false","UNKNOWN","UNKNOWN","UZ1-2026-QIZILQUM-006","Jambul Jigauri","Qizilqum Zarafshon","MF","2026",""
"cmtr671c8003p33ynbuek7b7b","Javlon Mirabdullaev","seed:UZ1-2026-BUNYODKO-012","seed://uz1/UZ1-2026-BUNYODKO-012","UNKNOWN","false","","","","","UNKNOWN","DF","","","[]","","","false","UNKNOWN","UNKNOWN","UZ1-2026-BUNYODKO-012","Javlon Mirabdullaev","Bunyodkor Tashkent","DF","2026",""
"cmtr671ek009133yn5v9tblw0","Javokhir Utamurodov","seed:UZ1-2026-NASAFQAR-019","seed://uz1/UZ1-2026-NASAFQAR-019","UNKNOWN","false","","","","","UNKNOWN","DF","","","[]","","","false","UNKNOWN","UNKNOWN","UZ1-2026-NASAFQAR-019","Javokhir Utamurodov","Nasaf Qarshi","DF","2026",""
"cmtr671c5003h33yn7084si0d","Khasan Askarov","seed:UZ1-2026-BUNYODKO-008","seed://uz1/UZ1-2026-BUNYODKO-008","UNKNOWN","false","","","","","UNKNOWN","DF","","","[]","","","false","UNKNOWN","UNKNOWN","UZ1-2026-BUNYODKO-008","Khasan Askarov","Bunyodkor Tashkent","DF","2026",""
"cmtr671dw007b33ynb8vgf5os","Khudoyorkhon Sagdullaev","seed:UZ1-2026-MASHALMU-012","seed://uz1/UZ1-2026-MASHALMU-012","UNKNOWN","false","","","","","UNKNOWN","MF","","","[]","","","false","UNKNOWN","UNKNOWN","UZ1-2026-MASHALMU-012","Khudoyorkhon Sagdullaev","Mashal Muborak","MF","2026",""
"cmtr671hl00e733ynh89nazps","Kimi Merk","seed:UZ1-2026-PAKHTAKO-018","seed://uz1/UZ1-2026-PAKHTAKO-018","UNKNOWN","false","","","","","UNKNOWN","MF","","","[]","","","false","UNKNOWN","UNKNOWN","UZ1-2026-PAKHTAKO-018","Kimi Merk","Pakhtakor Tashkent","MF","2026",""
"cmtr671ha00dr33yn7evtnl6g","Makhmud Makhamadzhonov","seed:UZ1-2026-PAKHTAKO-009","seed://uz1/UZ1-2026-PAKHTAKO-009","UNKNOWN","false","","","","","UNKNOWN","DF","","","[]","","","false","UNKNOWN","UNKNOWN","UZ1-2026-PAKHTAKO-009","Makhmud Makhamadzhonov","Pakhtakor Tashkent","DF","2026",""
"cmtr671jg00j933ynket3x9e6","Mamur Ikramov","seed:UZ1-2026-LOKOMOTI-001","seed://uz1/UZ1-2026-LOKOMOTI-001","UNKNOWN","false","","","","","Goalkeeper","GK","","","[]","","","false","UNKNOWN","UNKNOWN","UZ1-2026-LOKOMOTI-001","Mamur Ikramov","Lokomotiv Tashkent","GK","2026",""
"cmtr671kl00m933ynqttriznr","Marsiano Roki","seed:UZ1-2026-XORAZMUR-007","seed://uz1/UZ1-2026-XORAZMUR-007","UNKNOWN","false","","","","","UNKNOWN","FW","","","[]","","","false","UNKNOWN","UNKNOWN","UZ1-2026-XORAZMUR-007","Marsiano Roki","Xorazm Urganch","FW","2026",""
"cmtr671ed008l33ynzw653yth","Mashkhyrbek Abdusoliev","seed:UZ1-2026-NASAFQAR-010","seed://uz1/UZ1-2026-NASAFQAR-010","UNKNOWN","false","","","","","UNKNOWN","DF","","","[]","","","false","UNKNOWN","UNKNOWN","UZ1-2026-NASAFQAR-010","Mashkhyrbek Abdusoliev","Nasaf Qarshi","DF","2026",""
